### SOURCE
1bMVyI]3uVp3H[=w_)xTl!0}.vsAjyRPd6Rd;1aa@u}wKm*1n&{xWD!/QfDp,B[#xG/3:qfvMbtDS(RuXPbgh4kXwbVB%;p9-hb= P_1)zU@p[tk,vQDAuu

### EXTRACTED OUTPUT
1bMVyI]3uVp3H[=w_)xTl!0}.vsAjyRPd6Rd;1aa@u}wKm*1n&{xWD!/QfDp,B[#xG/3:qfvMbtDS(RuXPbgh4kXwbVB%;p9-hb= P_1)zU@p[tk,vQDAuu
### METRICS
{
  "src_len": 120,
  "out_len": 119,
  "edit_distance": 1,
  "cer": 0.008333333333333333,
  "exact": false,
  "insertions": 0,
  "deletions": 1,
  "substitutions": 0,
  "lcp": 119,
  "lcs_len": 119,
  "pct_conserved": 0.9917,
  "first_divergence": 119,
  "exact_pct": 0.0,
  "len_ratio": 0.9917
}
### FIRST DIVERGENCE
  src: '\n'
  out: ''
