### SOURCE
1bMVyI]3uVp3H[=w_)xTl!0}.vsAjyRPd6Rd;1aa@u}wKm*1n&{xWD!/QfDp,B[#xG/3:qfvMbtDS(RuXPbgh4kXwbVB%;p9-hb= P_1)zU@p[tk,vQDAuu

### EXTRACTED OUTPUT

1bMVyI]3uVp3H[=w_)xTl!0}.vsAjyRPd6Rd;1aa@u}wKm*1n&{xWD!/QfDp,B[#xG/3:qfvMbtDS(RuXPbgh4kXwbVB%;p9-hb= P_1)zU@p[tk,vQDAuu
### METRICS
{
  "src_len": 120,
  "out_len": 120,
  "edit_distance": 2,
  "cer": 0.016666666666666666,
  "exact": false,
  "insertions": 1,
  "deletions": 1,
  "substitutions": 0,
  "lcp": 0,
  "lcs_len": 119,
  "pct_conserved": 0.9917,
  "first_divergence": 0,
  "exact_pct": 0.0,
  "len_ratio": 1.0
}
### FIRST DIVERGENCE
  src: '1bMVyI]3uVp3H[=w_)xTl!0}.vsAjyRPd6Rd;1aa@u}wKm*1n&{xWD!/QfDp'
  out: '\n1bMVyI]3uVp3H[=w_)xTl!0}.vsAjyRPd6Rd;1aa@u}wKm*1n&{xWD!/QfD'
